https://s3.amazonaws.com/extend.brackets/dark-n-green-by-rossmel/dark-n-green-by-rossmel-1.0.0.zip,Dark and Green,by Rossmel Abasto,1.0.0,on 2021-03-01
https://s3.amazonaws.com/extend.brackets/starboy.hide-status-bar/starboy.hide-status-bar-0.0.3.zip,Hide Status Bar,by Jiří Dvořák,0.0.3,on 2021-02-26
https://s3.amazonaws.com/extend.brackets/starboy.external-changes-dialog/starboy.external-changes-dialog-0.0.3.zip,External Changes Dialog,by Jiří Dvořák,0.0.3,on 2021-02-26
https://s3.amazonaws.com/extend.brackets/cacique.templates/cacique.templates-1.0.7.zip,Cacique Templates,by Pedro Cacique,1.0.7,on 2021-02-01
https://s3.amazonaws.com/extend.brackets/rch-bootstrap-4-snippets/rch-bootstrap-4-snippets-0.3.4.zip,RCH Bootstrap 4 Snippets,by Ricardo J Rodriguez,0.3.4,on 2021-01-21
https://s3.amazonaws.com/extend.brackets/nebuleuse-theme/nebuleuse-theme-1.0.0.zip,Nebuleuse,by Oscar Lahaie,1.0.0,on 2020-12-31
https://s3.amazonaws.com/extend.brackets/hirse.brackets-prettier/hirse.brackets-prettier-1.2.0.zip,Prettier,by Jan Pilzer,1.2.0,on 2020-12-28
https://s3.amazonaws.com/extend.brackets/mactoph.ally-cleanup/mactoph.ally-cleanup-1.2.0.zip,Clean Ally HTML,by Christopher Phillips accessibility@usu.edu,1.2.0,on 2020-11-24
https://s3.amazonaws.com/extend.brackets/christine/christine-1.0.1.zip,Christine,by vtrykoz vtrykoz@icloud.com,1.0.1,on 2020-11-18
https://s3.amazonaws.com/extend.brackets/brackets-productivity-project-files-search/brackets-productivity-project-files-search-1.2.0.zip,Productivity / Project Files Search,by MerryPanda,1.2.0,on 2020-10-26
https://s3.amazonaws.com/extend.brackets/sumit.matrix-theme/sumit.matrix-theme-1.1.0.zip,Matrix Theme,by Sumit Wankhede,1.1.0,on 2020-10-05
https://s3.amazonaws.com/extend.brackets/aqeelat.escape-html/aqeelat.escape-html-1.0.1.zip,Escape HTML,by Abdullah Alaqeel,1.0.1,on 2020-09-28
https://s3.amazonaws.com/extend.brackets/torlavo-theme/torlavo-theme-1.0.5.zip,Torlavo,by Stanyslaw 'stavezie' Parkhomenko,1.0.5,on 2020-09-16
https://s3.amazonaws.com/extend.brackets/brackets-php-beautify/brackets-php-beautify-0.1.1.zip,Brackets PHP-Beautify,by nadchif,0.1.1,on 2020-09-12
